feature,importance
drawdown,0.22869833110626098
mom_30d,0.16532647328491534
vol_30d,0.14475995582263365
lag_return_1,0.1250769158138156
mom_90d,0.09586752549450513
vol_90d,0.09178459004480125
lag_return_5,0.06817226159657606
lag_return_21,0.05554496295531455
Ticker_TSLA,0.008066384196578564
Ticker_NVDA,0.005708616682466777
Ticker_META,0.003950475478301918
Ticker_MSFT,0.001652610493842125
Ticker_GOOGL,0.0016430728955461344
Ticker_AMZN,0.0016145796841121926
Ticker_AAPL,0.0015042105756208062
Ticker_VWRP.L,0.00036195728544653456
Ticker_VUAG.L,0.0002670765892624281
